-110.12,-18.19,-84.12,0.00,0.00,0.00
-119.50,-7.94,-121.50,0.00,0.00,0.00
-131.25,1.87,-159.25,0.00,0.00,0.00
-140.87,-25.87,-162.81,-0.58,6.40,5.03
-72.19,-23.50,-182.00,-3.10,5.78,1.04
-28.62,-6.19,-152.06,-3.75,12.36,3.15
-41.00,-19.75,-81.56,-2.62,11.82,0.93
-5.25,-16.87,-39.06,-2.06,10.69,0.19
36.69,-11.88,-13.63,-1.66,10.31,0.22
41.38,-6.69,-3.81,-1.36,8.80,-0.39
26.19,2.81,-8.44,-1.35,9.10,0.03
5.69,8.06,-9.50,-1.38,9.93,0.27
-4.19,13.13,4.62,-1.52,10.15,0.37
1.56,16.56,30.50,-1.41,9.65,1.61
11.56,12.94,61.00,-1.42,8.33,1.64
23.25,10.94,85.31,-1.49,6.85,1.16
29.81,12.50,101.00,-1.46,5.69,1.62
29.19,5.06,111.12,-1.23,3.68,2.76
33.69,-6.12,115.56,-1.21,3.23,2.41
39.50,-11.69,119.44,-1.20,3.11,2.56
35.63,-16.25,124.31,-1.11,3.00,2.54
24.19,-23.87,133.19,-1.03,2.83,2.64
20.12,-31.06,141.81,-1.29,2.64,2.67
27.31,-36.56,153.25,-1.31,2.51,2.65
42.88,-41.56,173.25,-1.36,0.37,2.29
62.81,-45.69,191.69,-1.16,-1.21,1.65
86.12,-46.81,194.31,-0.96,-3.36,0.57
101.44,-35.00,172.44,-0.86,-3.47,0.91
82.94,-37.75,155.62,-0.74,-3.06,0.97
67.25,-39.69,142.25,-0.80,-2.51,0.57
66.12,-36.56,140.12,-0.72,-2.23,0.52
69.62,-35.69,143.19,-0.63,-2.77,0.09
70.81,-37.69,145.00,-0.30,-3.50,-0.39
69.44,-39.63,144.37,-0.38,-3.87,-0.83
70.62,-36.81,142.56,-0.23,-4.14,-1.27
77.19,-31.44,141.19,-0.23,-4.74,-1.39
84.00,-28.37,138.81,-0.05,-5.73,-1.48
85.00,-26.81,134.69,0.06,-6.28,-1.73
77.37,-22.69,128.56,0.08,-6.80,-1.85
62.25,-18.50,121.62,0.20,-7.52,-2.06
46.44,-12.69,110.06,0.81,-8.97,-2.55
33.94,-7.37,95.19,0.92,-9.51,-2.30
30.25,-2.44,79.31,0.74,-9.31,-2.66
24.44,-3.62,69.50,1.42,-10.25,-2.84
33.38,-3.06,54.13,1.38,-9.67,-2.58
33.63,-4.25,44.88,1.53,-10.90,-3.72
42.69,13.19,18.87,1.34,-11.07,-3.54
42.69,13.19,18.87,1.21,-10.67,-2.51
-14.13,11.94,-13.56,1.13,-10.86,-2.49
-10.75,18.62,-36.19,1.07,-9.77,-1.58
-15.50,19.00,-48.06,0.94,-9.20,-2.05
-20.44,24.06,-56.06,0.93,-9.12,-2.02
-19.62,27.62,-66.00,0.83,-8.88,-1.38
-17.87,26.00,-75.81,0.77,-8.64,-1.09
-14.63,23.31,-85.94,0.70,-8.51,-0.95
-12.19,19.62,-96.81,0.29,-7.63,-0.70
-12.38,20.69,-107.75,-0.48,-8.18,-1.23
-5.19,16.62,-122.94,0.37,-6.80,0.10
-5.87,16.31,-131.94,-0.52,-5.91,-0.83
-15.00,21.12,-134.37,-0.58,-6.04,-0.55
-26.94,20.62,-134.94,-0.79,-5.91,-0.04
-40.69,12.38,-134.31,-0.73,-5.94,0.58
-40.69,12.38,-134.31,-1.01,-6.38,-0.68
-46.63,4.94,-141.62,-1.03,-5.10,-0.43
-46.88,17.94,-181.37,-1.30,-3.40,0.32
-49.88,18.25,-194.81,-1.52,-1.83,0.23
-43.25,22.19,-199.19,-2.16,1.74,1.57
-43.25,22.19,-199.19,-2.27,3.24,1.93
-43.94,20.81,-190.81,-2.19,4.63,1.53
-49.19,8.25,-139.06,-1.74,4.34,0.43
-32.06,14.69,-107.56,-0.83,-1.17,-0.91
-9.00,25.56,-107.50,-0.57,-2.93,0.14
-9.00,25.56,-107.50,-0.70,-1.42,1.42
-8.19,24.19,-147.06,-0.78,2.66,1.69
-50.69,-1.75,-195.19,-2.00,7.79,2.68
-32.81,-6.87,-209.37,-2.49,10.65,2.90
-14.38,-13.75,-211.37,-2.82,14.53,4.05
-14.38,-13.75,-211.37,-3.12,14.40,-2.31
-12.13,-54.38,-154.75,-3.52,18.97,3.18
-1.25,-3.87,-2.94,-2.38,16.55,3.67
-81.31,-28.81,68.50,-2.01,10.55,0.59
-116.94,-26.44,66.44,-1.39,7.08,0.64
-116.94,-26.44,66.44,-1.61,6.39,0.27
-141.25,-24.94,45.06,-1.89,6.69,1.01
-69.69,-2.87,13.81,-2.02,7.44,2.38
12.81,-7.00,23.44,-2.34,8.68,2.73
81.06,-15.44,52.50,-2.41,8.22,1.63
81.06,-15.44,52.50,-2.41,8.22,1.63
110.81,-17.19,83.25,-2.12,6.61,0.56
92.44,1.25,96.75,-1.41,4.10,-0.88
62.19,6.31,94.62,-1.30,4.14,-0.91
43.94,9.81,95.69,-1.35,4.31,-0.76
43.94,9.81,95.69,-1.35,4.31,-0.76
42.25,10.50,102.75,-1.23,4.71,0.37
59.69,4.06,127.94,-1.23,3.74,0.55
64.25,2.75,139.50,-1.15,3.16,0.78
61.31,1.44,150.31,-1.10,1.12,0.67
61.31,1.44,150.31,-1.10,1.12,0.67
58.31,2.00,153.81,-1.06,0.24,0.90
48.31,-2.19,147.62,-0.94,-0.92,0.76
38.94,-5.25,147.31,-0.57,-2.08,0.34
38.94,-5.25,147.31,-1.09,-2.20,0.54
36.69,-4.62,146.69,-1.09,-2.20,0.54
28.37,0.44,147.31,-1.01,-2.31,1.25
9.31,-3.44,152.19,-0.49,-5.15,1.21
10.06,-5.31,151.31,-0.28,-5.83,1.03
19.44,-10.19,148.37,-0.16,-6.39,0.81
32.50,-15.88,143.31,-0.16,-6.39,0.81
47.25,-19.37,134.62,0.24,-6.87,0.04
